id,name,min_players,max_players,play_time,min_age,published,owned,average_rating,category
1931,Anti-Monopoly,2,6,120,8,1973,1306,4.85173,Economic
1932,Anti-Monopoly II,2,6,120,8,1977,299,5.27981,Economic
1940,Sindbad,2,5,60,10,1990,227,5.57065,Economic
1940,Sindbad,2,5,60,10,1990,227,5.57065,Fighting
1958,The Game of Nations,2,4,120,12,1973,584,5.42948,Economic
1965,Mertwig's Maze,2,6,100,10,1988,512,5.68701,Fighting
1986,Spy Alley,2,6,45,8,1992,1664,5.59801,Bluffing
2063,The Great Khan Game,2,6,90,10,1989,609,5.77603,Bluffing
2087,Magic Dance,3,6,45,8,1988,749,5.5799,Bluffing
2088,Coup,2,6,90,10,1975,231,5.59221,Economic
2091,Legions of Steel,2,5,180,12,1992,266,5.66494,Fighting
2091,Legions of Steel,2,5,180,12,1992,266,5.66494,Science Fiction
2092,Elfengold,2,6,60,10,1991,242,5.54825,Bluffing
2098,Heresy,2,5,90,12,1995,180,5.52537,Fighting
2106,Imperium: 3rd Millennium,2,2,120,12,2001,439,5.4488,Science Fiction
2121,The Sword and the Stars,1,5,240,12,1981,404,5.57365,Economic
2121,The Sword and the Stars,1,5,240,12,1981,404,5.57365,Science Fiction
2122,Vampire: The Eternal Struggle,2,5,120,13,1994,2460,6.4907,Fighting
2123,Shadowrun: The Trading Card Game,2,8,60,12,1997,418,5.66802,Fighting
2123,Shadowrun: The Trading Card Game,2,8,60,12,1997,418,5.66802,Science Fiction
2127,Overpower,2,2,30,10,1995,598,5.50453,Fighting
2132,Guardians,2,4,45,12,1995,461,5.64166,Fighting
2133,Rage,2,6,45,12,1995,846,5.63884,Fighting
2135,On the Edge,2,5,45,12,1994,571,5.64776,Fighting
2144,Ebola Monkey Hunt,3,6,60,12,1998,239,5.45187,Fighting
2146,Warlock,2,6,60,12,1980,506,5.55966,Fighting
2162,"Warhammer 40,000",2,6,120,17,1993,2915,6.02679,Fighting
2162,"Warhammer 40,000",2,6,120,17,1993,2915,6.02679,Science Fiction
2163,Space Hulk,2,4,45,12,1989,3301,6.94853,Fighting
2163,Space Hulk,2,4,45,12,1989,3301,6.94853,Science Fiction
2166,Wyvern,2,2,30,10,1994,667,5.38495,Fighting
2169,Arcadia: The Wyld Hunt,1,5,30,10,1996,260,5.48834,Fighting
2179,Musketeers,2,4,40,8,1991,906,5.65463,Bluffing
2180,Flagship: Prometheus Unchained,2,4,180,10,2002,412,5.58488,Science Fiction
2189,Pfusch,2,5,30,8,1992,232,5.57802,Bluffing
2192,Rivets,2,2,30,10,1977,541,5.63068,Science Fiction
2194,Chitin: I,2,2,30,10,1977,461,5.55708,Science Fiction
2195,Globbo!,2,2,45,12,1983,237,5.52341,Fighting
2195,Globbo!,2,2,45,12,1983,237,5.52341,Science Fiction
2200,Falsche FuFFziger,3,6,90,12,1994,274,5.60458,Economic
2213,Revolt on Antares,2,4,45,12,1981,430,5.60172,Science Fiction
2215,They've Invaded Pleasantville,2,2,45,12,1981,451,5.54675,Science Fiction
2252,King of the Tabletop,2,4,180,12,1983,365,5.72043,Bluffing
2254,Title Bout,1,2,45,12,1979,450,5.70352,Fighting
2258,The Stock Market Game,1,6,60,0,1970,611,5.45243,Economic
2262,Mythology,2,8,180,12,1980,279,5.59909,Bluffing
2262,Mythology,2,8,180,12,1980,279,5.59909,Fighting
2265,Ultimate Stratego,2,4,30,10,1997,734,5.58553,Bluffing
2268,Lost Patrol,2,4,30,12,2000,487,5.67864,Science Fiction
2275,Airlines,2,4,120,12,1998,294,5.3693,Economic
2280,Marco Polo,2,4,60,8,1983,163,5.45185,Economic
2285,Dark Future,2,0,60,8,1988,522,5.55043,Science Fiction
